order,family,genus,species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,female_mass_mean,female_mass_upper,female_mass_lower,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,breeding_dist,nest_locations,clutch_size_mean,clutch_size_lower,cluth_size_upper,clutch_size_uncertainty,clutch_interval,hatchling_type,incubation_mean,incubation_period_lower,incubtaion_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,coloniality,citation
PELECANIFORMES,ARDEIDAE,Tigrisoma,fasciatum,Tigrisoma fasciatum,,Fasciated Tiger-heron, Fasciated Tiger Heron, Fasciated Tiger-Heron,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Tigrisoma,lineatum,Tigrisoma lineatum,,Rufescent Tiger-heron, Rufescent Tiger Heron, Rufescent Tiger-Heron,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
PELECANIFORMES,ARDEIDAE,Tigrisoma,mexicanum,Tigrisoma mexicanum,,Bare-throated Tiger-heron, Bare-throated Tiger Heron, Bare-throated Tiger-Heron,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Zebrilus,undulatus,Zebrilus undulatus,,Zigzag Heron,,,,,,NT,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Zonerodius,heliosylus,Zonerodius heliosylus,,Forest Bittern,,,,,,NT,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
PELECANIFORMES,BALAENICIPITIDAE,Balaeniceps,rex,Balaeniceps rex,,Shoebill, Whale-headed Stork,,,,,VU,C2a(ii),2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,BURHINIDAE,Burhinus,bistriatus,Burhinus bistriatus,,Double-striped Thick-knee,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,BURHINIDAE,Burhinus,capensis,Burhinus capensis,,Spotted Thick-knee, Spotted Dikkop,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,BURHINIDAE,Burhinus,grallarius,Burhinus grallarius,,Bush Thick-knee, Bush Stone-curlew,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,BURHINIDAE,Burhinus,indicus,Burhinus indicus,,Indian Thick-knee,,,,,,LC,,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,BURHINIDAE,Burhinus,oedicnemus,Burhinus oedicnemus,,Eurasian Thick-knee, Stone Curlew,,,,,LC,,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,BURHINIDAE,Burhinus,senegalensis,Burhinus senegalensis,,Senegal Thick-knee,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,BURHINIDAE,Burhinus,superciliaris,Burhinus superciliaris,,Peruvian Thick-knee,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,BURHINIDAE,Burhinus,vermiculatus,Burhinus vermiculatus,,Water Thick-knee, Water Dikkop,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,BURHINIDAE,Esacus,magnirostris,Esacus magnirostris,Burhinus giganteus giganteus|Esacus giganteus|Esacus magnirostris magnirostris|Esacus neglectus neglectus,Beach Thick-knee, Beach Stone-curlew,,,,,NT,,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,BURHINIDAE,Esacus,recurvirostris,Esacus recurvirostris,Burhinus recurvirostris recurvirostris,Great Thick-knee, Great Stone-curlew,,,,,NT,,2013,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Anarhynchus,frontalis,Anarhynchus frontalis,,Wrybill,,,,,,VU,C2a(i),2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alexandrinus,Charadrius alexandrinus,,Kentish Plover, Snowy Plover,,,,,LC,,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alticola,Charadrius alticola,,Puna Plover,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,aquilonius,Charadrius aquilonius,,Northern Red-breasted Plover,,,,,,NT,,2014,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,asiaticus,Charadrius asiaticus,,Caspian Plover,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bicinctus,Charadrius bicinctus,,Double-banded Plover, Banded Dotterel,,,,,LC,,2014,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bifrontatus,Charadrius bifrontatus,,Madagascar Three-banded Plover,,,,,,LC,,2014,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,collaris,Charadrius collaris,,Collared Plover,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dealbatus,Charadrius dealbatus,,White-faced Plover,,,,,,DD,,2014,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dubius,Charadrius dubius,,Little Ringed Plover,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,falklandicus,Charadrius falklandicus,,Two-banded Plover,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,forbesi,Charadrius forbesi,,Forbes's Plover,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,hiaticula,Charadrius hiaticula,,Common Ringed Plover, Ringed Plover,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,javanicus,Charadrius javanicus,,Javan Plover,,,,,,NT,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,leschenaultii,Charadrius leschenaultii,,Greater Sandplover, Large Sand Dotterel, Greater Sand-Plover,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,marginatus,Charadrius marginatus,,White-fronted Plover,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,melodus,Charadrius melodus,,Piping Plover,,,,,,NT,,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,modestus,Charadrius modestus,,Rufous-chested Plover, Rufous-chested Dotterel,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,mongolus,Charadrius mongolus,,Lesser Sandplover, Mongolian Dotterel, Lesser Sand-Plover, Mongolian Plover,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,montanus,Charadrius montanus,,Mountain Plover,,,,,,NT,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,nivosus,Charadrius nivosus,,Snowy Plover,,,,,,NT,,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,obscurus,Charadrius obscurus,,Southern Red-breasted Plover,,,,,,EN,D,2014,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,pallidus,Charadrius pallidus,,Chestnut-banded Plover,,,,,,NT,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,pecuarius,Charadrius pecuarius,,Kittlitz's Plover,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,peronii,Charadrius peronii,,Malay Plover,,,,,,NT,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,placidus,Charadrius placidus,,Long-billed Plover,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,ruficapillus,Charadrius ruficapillus,,Red-capped Plover, Red-capped Dotterel,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,sanctaehelenae,Charadrius sanctaehelenae,,St Helena Plover, St. Helena Plover, Saint Helena Plover, Wirebird,,,CR,C2a(ii),2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,semipalmatus,Charadrius semipalmatus,,Semipalmated Plover,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,thoracicus,Charadrius thoracicus,,Black-banded Plover, Black-banded Plover,,,,,VU,C2a(i),2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,tricollaris,Charadrius tricollaris,,African Three-banded Plover, Three-banded Plover,,,,,LC,,2014,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,veredus,Charadrius veredus,,Oriental Plover, Oriental Dotterel,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,vociferus,Charadrius vociferus,,Killdeer,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,wilsonia,Charadrius wilsonia,,Wilson's Plover,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Elseyornis,melanops,Elseyornis melanops,Charadrius melanops melanops,Black-fronted Dotterel,,,,,,LC,,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Erythrogonys,cinctus,Erythrogonys cinctus,,Red-kneed Dotterel,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Eudromias,morinellus,Eudromias morinellus,Charadrius morinellus |Charadrius morinellus morinellus|Charadrius morinellus morinellus|Charadrius morinellus morinellus,Eurasian Dotterel, Dotterel,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Hoploxypterus,cayanus,Hoploxypterus cayanus,Vanellus cayanus,Pied Lapwing,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Oreopholus,ruficollis,Oreopholus ruficollis,Eudromias ruficollis |Eudromias ruficollis ruficollis,Tawny-throated Dotterel,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Peltohyas,australis,Peltohyas australis,Charadrius australis|Peltohyas australis,Inland Dotterel, Inland Plover,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Phegornis,mitchellii,Phegornis mitchellii,,Diademed Plover, Diademed Plover, Diademed Sandpiper-Plover,,,,NT,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,apricaria,Pluvialis apricaria,,Eurasian Golden Plover, European Golden-Plover, European Golden Plover, Eurasian Golden-Plover, Golden Plover,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,dominica,Pluvialis dominica,Pluvialis dominicus dominicus,American Golden Plover, Lesser Golden Plover, American Golden-Plover,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,fulva,Pluvialis fulva,,Pacific Golden Plover, Pacific Golden-Plover,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,squatarola,Pluvialis squatarola,,Grey Plover, Black-bellied Plover,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Thinornis,cucullatus,Thinornis cucullatus,Charadrius rubricollis rubricollis|Charadrius rubricollis rubricollis|Charadrius rubricollis rubricollis|Charadrius rubricollis rubricollis|Thinornis rubricollis,Hooded Plover, Hooded Dotterel,,,,,VU,C1,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Thinornis,novaeseelandiae,Thinornis novaeseelandiae,,Shore Plover, Shore Dotterel,,,,,EN,D,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,albiceps,Vanellus albiceps,,White-headed Lapwing, White-crowned Lapwing, White-crowned Plover,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,armatus,Vanellus armatus,,Blacksmith Lapwing, Blacksmith Plover,,,,,LC,,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,chilensis,Vanellus chilensis,,Southern Lapwing,,,,,,LC,,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,cinereus,Vanellus cinereus,,Grey-headed Lapwing,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,coronatus,Vanellus coronatus,,Crowned Lapwing, Crowned Plover,,,,,LC,,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,crassirostris,Vanellus crassirostris,,Long-toed Lapwing, Long-toed Plover,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,duvaucelii,Vanellus duvaucelii,,River Lapwing,,,,,,NT,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,gregarius,Vanellus gregarius,Chettusia gregaria gregaria|Chettusia gregaria gregaria,Sociable Lapwing, Sociable Plover,,,,,CR,A3bcd+4bcd,2013,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,indicus,Vanellus indicus,Hoplopterus indicus |Hoplopterus indicus indicus,Red-wattled Lapwing, Red-wattled Plover,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,leucurus,Vanellus leucurus,Chettusia leucura leucura,White-tailed Lapwing, White-tailed Plover,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,lugubris,Vanellus lugubris,,Senegal Lapwing, Lesser Black-winged Plover,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,macropterus,Vanellus macropterus,,Javan Lapwing, Javanese Lapwing, Sunda Plover,,,,CR,D,2013,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,malarbaricus,Vanellus malarbaricus,,Yellow-wattled Lapwing,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,melanocephalus,Vanellus melanocephalus,,Spot-breasted Lapwing, Spot-breasted Plover,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,melanopterus,Vanellus melanopterus,,Black-winged Lapwing, Black-winged Plover,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,miles,Vanellus miles,,Masked Lapwing, Masked Plover,,,,,LC,,2014,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,novaehollandiae,Vanellus novaehollandiae,,Black-shouldered Lapwing,,,,,,LC,,2014,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,resplendens,Vanellus resplendens,,Andean Lapwing,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,senegallus,Vanellus senegallus,,Wattled Lapwing, African Wattled Lapwing, Senegal Wattled Plover,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,spinosus,Vanellus spinosus,Hoplopterus spinosus |Hoplopterus spinosus spinosus,Spur-winged Lapwing, Spur-winged Plover,,,,,LC,,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,superciliosus,Vanellus superciliosus,,Brown-chested Lapwing, Brown-chested Wattled Plover,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,tectus,Vanellus tectus,Hoplopterus tectus |Hoplopterus tectus tectus,Black-headed Lapwing, Blackhead Plover, Black-headed Plover,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,tricolor,Vanellus tricolor,,Banded Lapwing,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,vanellus,Vanellus vanellus,,Northern Lapwing, Lapwing,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHIONIDAE,Chionis,albus,Chionis albus,Chionis alba |Chionis alba |Chionis alba |Chionis alba ,Snowy Sheathbill, American Sheathbill,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,CHIONIDAE,Chionis,minor,Chionis minor,,Black-faced Sheathbill,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,bulleri,Thalassarche bulleri,Diomedea bulleri bulleri|Diomedea bulleri bulleri|Diomedea bulleri bulleri|Diomedea bulleri bulleri|Diomedea bulleri bulleri,Buller's Albatross, Buller's Mollymawk,,,,,NT,,2012,stable,2.78,,,,3.12,,,,"Tm,SP","O,SI",1,,,,,SP,,69,72,,,140-167,,,,,,,0,,,,5,,,+,NS,,205,213,,30,,,+,91.3,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebetria,fusca,Phoebetria fusca,,Sooty Albatross, Dark-mantled Sooty Albatross,,,,,EN,A4bd,2012,decreasing,2.4,,,,2.7,,,,Tm,"CI,SI",1,,,,B,SP,,69,72,,,140-167,,,,,,,0,,,,5,,,+,NS,,205,213,,30,,,+,91.3,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,melanophris,Thalassarche melanophris,Thalassarche melanophrys|Thalassarche melanophris melanophris,Black-browed Albatross,,,,,,NT,,2014,decreasing,3.22,,,,3.92,,,,SP,"O,SI",1,,,,,SP,,65,72,,,116-125,,,70,,,,,,,,(7-11),7,11,,"NS,OS",,216,240,,,,,,92,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,impavida,Thalassarche impavida,,Campbell Albatross,,,,,,VU,D2,2012,increasing,2.7,,,,3.1,,,,Tm,,1,,,,,SP,,,,,,,,,,,,,0,,,,10,,,,OS,,,,,,,,,94.5,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,chrysostoma,Thalassarche chrysostoma,Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma,Grey-headed Albatross, Grey-headed Mollymawk, Gray-headed Albatross,,,,EN,A4bd,2013,decreasing,,3,3.6,,,3.4,3.7,,"Tm,SP",O,1,,,,,SP,,69,78,,141,,,c,63,,,,,,,,(7-13),7,13,,OS,,180,218,,30,,,+,95,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,irrorata,Phoebastria irrorata,Diomedea irrorata irrorata|Diomedea irrorata irrorata|Diomedea irrorata irrorata|Diomedea irrorata irrorata,Waved Albatross,,,,,,CR,B2ab(v),2014,decreasing,3.5,,,,3.5,,,,Tr,"O,SI",1,,,,,SP,60,,,,167,,,,,,,,0,,,,8.3,,,,,,230,240,,40,,,c,95,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,immutabilis,Phoebastria immutabilis,Diomedea immutabilis immutabilis|Diomedea immutabilis immutabilis,Laysan Albatross,,,,,,NT,,2013,stable,2.85,,,,3.23,,,,STr,"O,SI",1,,,,,SP,65,,,,165,,,,,,,,,,,weeks,8,8,9,,OS,,195,202,,53,,,c,95,,,,,
